Avg Gen Fitness, Highest Gen Fitness, Avg # of Correct Bits
0.137580904957123, 0.965233307636939, 20.8666666666667
0.469464697114469, 0.965824690640931, 22.7666666666667
0.682949435736486, 0.974734654657727, 24.0666666666667
0.754765452171043, 0.975331274122315, 24.6
0.717509502325694, 0.973542401014207, 23.7
0.710127575768305, 0.973542982848889, 24.4
0.781817804718108, 0.974735819609909, 24.0333333333333
0.667179731804407, 0.991250513671581, 24.9
0.694690958903805, 0.989728879147282, 25.4666666666667
0.752409909065184, 0.989681637462129, 26.1


