Avg Gen Fitness, Highest Gen Fitness, Avg # of Correct Bits,
0.0988255348145296, 0.975711105557484, 15.25
0.413926495857665, 0.975711114666873, 16.85
0.665217736973092, 0.976317751020389, 17.55
0.802596252332843, 0.975785741351456, 18.2
0.889091205841411, 0.978665106933361, 18.6
0.828688038515909, 0.992551056179905, 18.45
0.757025267719461, 0.975730362977094, 18.25
0.734745708796673, 0.993769851510034, 17.55
0.714056094032764, 0.993769860771023, 16.8
0.712961188562774, 0.993656660244297, 17.1


