Avg Gen Fitness, Highest Gen Fitness, Avg # of Correct Bits
0.127167138660978, 0.783171001759289, 9.73333333333333
0.609409313553513, 0.909358089984919, 11.0666666666667
0.630677960463663, 0.909358089984919, 10.6666666666667
0.678554092354284, 0.909804699186658, 10.8333333333333
0.665465989152474, 0.918813787377956, 11.1
0.668299436457801, 0.983679766014596, 11.5666666666667
0.710350087225295, 0.983689162605465, 11.7
0.701999936860539, 0.984704470047587, 11.4666666666667
0.732836953348644, 0.984742092132836, 11.7666666666667
0.722788759301372, 0.984742092132836, 11.5666666666667




