Avg Gen Fitness, Highest Gen Fitness, Avg # of Correct Bits
0.100279612098578, 0.973727440244512, 10.44
0.354440111095827, 0.974826689767596, 10.84
0.565760028924842, 0.979609262783741, 11.58
0.676097239777782, 0.980208566798375, 12.22
0.786702621521853, 0.993932190056506, 12.84
0.724607848349307, 0.993932190056506, 12.72
0.782444337066983, 0.984281310717865, 12.8
0.842298591970041, 0.99408395483378, 12.44
0.803187543206935, 0.994102926897291, 12.32
0.798262583932494, 0.995412786534134, 12.08


