Avg Gen Fitness, Highest Gen Fitness, Avg # of Correct Bits
0.0979623684649416, 0.88780868846687, 9.9
0.403706979417298, 0.88780868846687, 11.6
0.439004415759094, 0.887834393280035, 11.1333333333333
0.650209227028254, 0.964031910709686, 11.9666666666667
0.612914520290073, 0.973224766034887, 12.4
0.681175302220958, 0.964687261040148, 11.7666666666667
0.641092840536702, 0.966193314860342, 12.1333333333333
0.697035642921387, 0.981314398703924, 11.6
0.617315328666644, 0.979178716739363, 11.6333333333333
0.61890137303047, 0.964659562070195, 10.9333333333333


Avg Gen Fitness, Highest Gen Fitness, Avg # of Correct Bits
0.111284180204576, 0.768193097009174, 9.83333333333333
0.423144420377688, 0.902499961511132, 10.9666666666667
0.539149409887098, 0.932057202269173, 11.4
0.471913295514039, 0.903056638217683, 11.7
0.54398712715224, 0.901630772421391, 11.5
0.541108680670208, 0.900710254611594, 11.6333333333333
0.668366588489598, 0.911645758947236, 12.2666666666667
0.625582557454026, 0.920972293787453, 12.3333333333333
0.67059282818886, 0.92096343814413, 12.5666666666667
0.702346883867403, 0.920972293787453, 12.7


Avg Gen Fitness, Highest Gen Fitness, Avg # of Correct Bits
0.0863513132164381, 0.725486064950062, 10.4666666666667
0.403670785696668, 0.921477192156437, 11.5666666666667
0.481331855525239, 0.972926995240659, 12.4333333333333
0.531264373588088, 0.996686165450028, 12.5333333333333
0.628021677825236, 0.999132495212301, 13.4333333333333
0.661682818278596, 0.997751606730482, 13.1333333333333
0.665139727247138, 0.998989564959377, 12.9333333333333
0.67498210260917, 0.998980036930179, 13.4333333333333
0.700616916103924, 0.997380488590423, 13.2666666666667
0.617347091138421, 0.99755175844552, 13.5666666666667


Avg Gen Fitness, Highest Gen Fitness, Avg # of Correct Bits
0.0316009122824112, 0.601838364126842, 9.93333333333333
0.217069640851213, 0.898802444893735, 10.3333333333333
0.559429425248507, 0.898811108521632, 10.5
0.564363107412461, 0.899079718267893, 10.5
0.595377533147547, 0.900293694654429, 10.1666666666667
0.611561423360874, 0.898802444893735, 10.1666666666667
0.645025403397855, 0.907730951474462, 10.4666666666667
0.650966901788274, 0.907110530812704, 11.4666666666667
0.660760328061712, 0.981258142880306, 11.3666666666667
0.707680117018304, 0.981370657430173, 11.9666666666667


Avg Gen Fitness, Highest Gen Fitness, Avg # of Correct Bits
0.0445805278400746, 0.291251906911573, 9.83333333333333
0.16477657490168, 0.292864748593948, 10.5666666666667
0.200158103542604, 0.292681641045164, 10.3666666666667
0.250204289360199, 0.802188444960651, 10.4
0.315154277212474, 0.802337051749845, 10.8
0.425236986093849, 0.803652127115642, 11.9333333333333
0.575172750838881, 0.939937536760851, 12.1333333333333
0.643805550886068, 0.967821859097681, 12.4
0.682425513562533, 0.940496904153525, 12.7
0.693561123832959, 0.941083659386613, 12.8666666666667


Avg Gen Fitness, Highest Gen Fitness, Avg # of Correct Bits
0.120360059010522, 0.87515825869997, 9.53333333333333
0.392642049713546, 0.931475514737577, 11.1333333333333
0.563665161259168, 0.946642516187743, 10.9666666666667
0.600673944447356, 0.946651593752715, 11.2333333333333
0.659374361340154, 0.9269851833189, 11.4333333333333
0.658175387931833, 0.939991656000167, 11.5333333333333
0.651078843747182, 0.970046582536711, 11.0666666666667
0.649572609493227, 0.969944515492326, 11.4
0.65876194965691, 0.97996505975693, 11.2666666666667
0.647552050173966, 0.979993153944418, 11.8666666666667


Avg Gen Fitness, Highest Gen Fitness, Avg # of Correct Bits
0.105341557279668, 0.733585360993942, 9.63333333333333
0.360892278224668, 0.969499245125885, 9.9
0.412291884112836, 0.862035939708437, 10.4
0.532741963617772, 0.879277644172591, 9.93333333333333
0.518227055722209, 0.905792313382699, 10.1
0.605045365244206, 0.905792313382699, 10.8666666666667
0.638066105403614, 0.914765652907553, 11.5
0.733618251772395, 0.905792313382699, 11.1
0.701048876439925, 0.900988057611056, 11.0
0.654545183048664, 0.95817929440416, 11.3333333333333


Avg Gen Fitness, Highest Gen Fitness, Avg # of Correct Bits
0.05554322042328, 0.429991643599795, 10.4
0.22406348301371, 0.439217377004903, 11.2666666666667
0.355468744468874, 0.439217377004903, 11.6666666666667
0.382366878685806, 0.809554578072828, 11.7333333333333
0.409129885736568, 0.623117223524675, 11.9
0.412443268964201, 0.830009448691985, 11.9
0.511959899000228, 0.948477775547346, 11.9666666666667
0.510513853532944, 0.976795081393683, 11.5333333333333
0.620528575264776, 0.976795081393683, 12.3333333333333
0.577131643170182, 0.995697744088716, 12.3666666666667


Avg Gen Fitness, Highest Gen Fitness, Avg # of Correct Bits
0.136124795514771, 0.664060575226205, 10.1333333333333
0.401042020590931, 0.86741616610879, 11.7333333333333
0.556975944590224, 0.86741616610879, 12.5
0.606188193507396, 0.868784842013853, 12.1333333333333
0.666983926129989, 0.914836070955547, 12.0333333333333
0.583617553504615, 0.950398222714283, 11.6333333333333
0.609208520752105, 0.95000656828185, 11.8666666666667
0.61154105966063, 0.950225148188927, 11.7
0.638663579844455, 0.988444775711086, 11.7666666666667
0.699936415073487, 0.995165882692079, 12.1666666666667


Avg Gen Fitness, Highest Gen Fitness, Avg # of Correct Bits
0.0542196096266084, 0.671560323352568, 9.63333333333333
0.346565272147121, 0.710853110337568, 10.7333333333333
0.601835873460841, 0.954999622925507, 11.5
0.582455192494501, 0.892334457010256, 11.1
0.540994726865012, 0.892334457010256, 10.9
0.518347503120849, 0.891542886904462, 11.0333333333333
0.575222142663807, 0.891542886904462, 11.1666666666667
0.569235239894585, 0.934988500408205, 10.6333333333333
