Avg Gen Fitness, Highest Gen Fitness, Avg # of Correct Bits
0.0506588158401689, 0.599860653556946, 9.4
0.364086484100418, 0.826958081452966, 10.4
0.572684195296019, 0.826958081452966, 10.3333333333333
0.588995453089136, 0.822299990201222, 10.6
0.611115571791441, 0.822459944292011, 10.2
0.635192284073893, 0.822491938470311, 10.4
0.652625812309593, 0.826564315431858, 10.3
0.68421431027571, 0.827432431906401, 10.3666666666667
0.696427916884187, 0.82495083636183, 10.7666666666667
0.705699754697398, 0.822507935979508, 10.4666666666667




Avg Gen Fitness, Highest Gen Fitness, Avg # of Correct Bits
0.0605646156535064, 0.643536271406081, 10.8
0.376074222063937, 0.643690219317932, 12.3
0.492937075078873, 0.643690219317932, 12.4
0.557643947592133, 0.670374960232163, 12.5
0.562761523470641, 0.670374960232163, 12.3666666666667
0.588309995798419, 0.670388268452047, 12.5
0.610817905212443, 0.670468122764729, 12.7
0.625996675575706, 0.670468122764729, 12.4
0.628067011385403, 0.712327547545618, 12.0333333333333
0.637447250950263, 0.712327547545618, 12.3666666666667




Avg Gen Fitness, Highest Gen Fitness, Avg # of Correct Bits
0.0692977475385918, 0.739553205658887, 9.66666666666667
0.490274598140717, 0.905530621265846, 10.6666666666667
0.535757298026032, 0.905530621265846, 11.1
0.713067377461648, 0.90265649561058, 11.2333333333333
0.776873467383289, 0.905530621265846, 11.4
0.813108332772861, 0.905530621265846, 11.8
0.842380051014068, 0.906088980062684, 12.0333333333333
0.880678498133259, 0.906071526661097, 12.1
0.886032040179236, 0.906071526661097, 12.3333333333333
0.885762928530511, 0.906071526661097, 12.3666666666667




Avg Gen Fitness, Highest Gen Fitness, Avg # of Correct Bits
0.10270794275058, 0.857715193961335, 9.96666666666667
0.328680418693811, 0.962989714648542, 10.1333333333333
0.607852640563394, 0.962989714648542, 10.2666666666667
0.747077950248228, 0.97724336629916, 10.9
0.838960474127174, 0.977589045611127, 11.5
0.906770200994371, 0.977589045611127, 11.9
0.96183830235353, 0.986398745169971, 12.2333333333333
0.962683567883129, 0.986398745169971, 12.3
0.956779910541028, 0.986398745169971, 12.3333333333333
0.965258110259775, 0.986398745169971, 12.4666666666667




Avg Gen Fitness, Highest Gen Fitness, Avg # of Correct Bits
0.0277216219410722, 0.264881794543699, 10.6333333333333
0.124636105699121, 0.460330904872579, 11.3666666666667
0.193236843186713, 0.50178133221248, 11.9333333333333
0.264067838706216, 0.500705701657305, 12.0333333333333
0.322869782552094, 0.500705701657305, 11.9666666666667
0.371217283425632, 0.523181459764242, 11.4333333333333
0.374952998068094, 0.523181459764242, 11.9333333333333
0.396517907063389, 0.523255991815283, 12.8666666666667
0.412514156671555, 0.50795741913111, 12.8333333333333
0.410085014550103, 0.50788485119393, 13.2666666666667




Avg Gen Fitness, Highest Gen Fitness, Avg # of Correct Bits
0.0774959674668298, 0.927537608830828, 10.1333333333333
0.461594338151719, 0.98047086605129, 11.8333333333333
0.784869021934277, 0.98047086605129, 12.9666666666667
0.85350606329604, 0.98047086605129, 13.5
0.9268204847431, 0.98047086605129, 14.3333333333333
0.92377029404045, 0.98047086605129, 14.3666666666667
0.927312332088942, 0.978084399591646, 14.1
0.937896573902469, 0.999828351882873, 14.0333333333333
0.942892021155232, 0.999837887193678, 14.1
0.937710153649997, 0.999837887193678, 13.9666666666667




Avg Gen Fitness, Highest Gen Fitness, Avg # of Correct Bits
0.101558830775953, 0.59798484675508, 9.4
0.376918073400546, 0.735659029720361, 10.8666666666667
0.43677983282202, 0.977551669569932, 10.8666666666667
0.46370597644878, 0.977570357429765, 11.4333333333333
0.566968425301013, 0.977551669569932, 11.9666666666667
0.615414430830254, 0.977551669569932, 12.1333333333333
0.700600923289521, 0.980545820296924, 11.8666666666667
0.721774222499214, 0.968025600733965, 11.8333333333333
0.770969467189829, 0.968025600733965, 11.7666666666667
0.839347906080088, 0.968025600733965, 12.4666666666667




Avg Gen Fitness, Highest Gen Fitness, Avg # of Correct Bits
0.121370995925094, 0.797928525246318, 10.2666666666667
0.535282888200418, 0.928197343257888, 11.3
0.593382911626096, 0.981586342772836, 11.5333333333333
0.626313911758287, 0.981623857621911, 11.5666666666667
0.647962809035696, 0.998789493520809, 11.7
0.763764238891686, 0.984591611553413, 11.7
0.830918243292332, 0.984253105915804, 11.0
0.878077093115454, 0.984271909036356, 11.6333333333333
0.878362900928028, 0.984253105915804, 11.3666666666667
0.878104329047462, 0.984271909036356, 11.9666666666667




Avg Gen Fitness, Highest Gen Fitness, Avg # of Correct Bits
0.0809509284449572, 0.616451893635693, 10.0
0.447127878822175, 0.616883953907638, 10.7333333333333
0.542878131743086, 0.927992245447311, 11.4
0.587190977288904, 0.616995099162763, 11.7333333333333
0.602771196955418, 0.617476936894047, 11.7666666666667
0.609559239645623, 0.616995099162763, 11.9
0.612706964818602, 0.617007449748002, 12.2666666666667
0.612690641570965, 0.616958048742025, 12.0666666666667
0.612157853640699, 0.616958048742025, 12.2
0.612945963620257, 0.616958048742025, 12.3333333333333




Avg Gen Fitness, Highest Gen Fitness, Avg # of Correct Bits
0.0306429873737305, 0.376900014299148, 9.0
0.198701958493434, 0.858587757199877, 8.56666666666667
0.371174523259031, 0.858587757199877, 8.56666666666667
0.540353473742454, 0.860935168233775, 8.36666666666667
0.652137964326695, 0.861118542248608, 8.8
0.660232973886364, 0.906979504866962, 9.06666666666667
0.708906313917993, 0.911058009319469, 9.1
0.738530601930544, 0.911058009319469, 9.26666666666667
